player_name,country,year,current_position,suggested_position,source,confidence,reason,notes
Eddie Evans,Canada,1995,TBC,,,,No trusted structured position source found,
Steve Gray,Canada,1987,TBC,,,,No trusted structured position source found,
Steve Gray,Canada,1991,TBC,,,,No trusted structured position source found,
Steve Gray,Canada,1995,TBC,,,,No trusted structured position source found,
Bill Handson,Canada,1987,TBC,,,,No trusted structured position source found,
Bruce Breen,Canada,1987,TBC,,,,No trusted structured position source found,
Bruce Breen,Canada,1991,TBC,,,,No trusted structured position source found,
Charles Jones,Canada,1987,TBC,,,,No trusted structured position source found,
Ian Stuart,Canada,1987,TBC,,,,No trusted structured position source found,
John Lecky,Canada,1987,TBC,,,,No trusted structured position source found,
John Lecky,Canada,1991,TBC,,,,No trusted structured position source found,
Pat Palmer,Canada,1987,TBC,,,,No trusted structured position source found,
Pat Palmer,Canada,1991,TBC,,,,No trusted structured position source found,
Paul Vaesen,Canada,1987,TBC,,,,No trusted structured position source found,
Randy McKellar,Canada,1987,TBC,,,,No trusted structured position source found,
Rob Frame,Canada,1987,TBC,,,,No trusted structured position source found,
Ross Breen,Canada,1987,TBC,,,,No trusted structured position source found,
Roy Radu,Canada,1987,TBC,,,,No trusted structured position source found,
Roy Radu,Canada,1991,TBC,,,,No trusted structured position source found,
Spence McTavish,Canada,1987,TBC,,,,No trusted structured position source found,
Tom Woods,Canada,1987,TBC,,,,No trusted structured position source found,
Tom Woods,Canada,1991,TBC,,,,No trusted structured position source found,
Adrian Lungu,Romania,1987,TBC,,,,No trusted structured position source found,
Adrian Lungu,Romania,1991,TBC,,,,No trusted structured position source found,
Adrian Lungu,Romania,1995,TBC,,,,No trusted structured position source found,
Gheorghe Leonte,Romania,1987,TBC,,,,No trusted structured position source found,
Gheorghe Leonte,Romania,1991,TBC,,,,No trusted structured position source found,
Gheorghe Leonte,Romania,1995,TBC,,,,No trusted structured position source found,
Adrian Pllotschi,Romania,1987,TBC,,,,No trusted structured position source found,
Adrian Tinca,Romania,1987,TBC,,,,No trusted structured position source found,
Florea Opriș,Romania,1987,TBC,,,,No trusted structured position source found,
Florică Murariu,Romania,1987,TBC,,,,No trusted structured position source found,
Ion Bucan,Romania,1987,TBC,,,,No trusted structured position source found,
Liviu Hodorcă,Romania,1987,TBC,,,,No trusted structured position source found,
Marcel Toader,Romania,1987,TBC,,,,No trusted structured position source found,
Vasile David,Romania,1987,TBC,,,,No trusted structured position source found,
Vasile Pașcu,Romania,1987,TBC,,,,No trusted structured position source found,
Ștefan Tofan,Romania,1987,TBC,,,,No trusted structured position source found,
Ștefan Tofan,Romania,1991,TBC,,,,No trusted structured position source found,
Alex Nicholls,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Alex Nicholls,Zimbabwe,1991,TBC,,,,No trusted structured position source found,
Andre Buitendag,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Andy Tucker,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Campbell Graham,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Dirk Buitendag,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Eric Barrett,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Errol Bredenkamp,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
George Elcombe,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Peter Kaulback,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Richard Tsimba,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Richard Tsimba,Zimbabwe,1991,TBC,,,,No trusted structured position source found,
Rod Gray,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Shawn Graham,Zimbabwe,1987,TBC,,,,No trusted structured position source found,
Graeme Bachop,New Zealand,1991,TBC,,,,No trusted structured position source found,
Graeme Bachop,New Zealand,1995,TBC,,,,No trusted structured position source found,
Paul Henderson,New Zealand,1991,TBC,,,,No trusted structured position source found,
Paul Henderson,New Zealand,1995,TBC,,,,No trusted structured position source found,
